Code INSEE,code_region,code_departement,Département,siren_epci,EPCI,Logements,Établissements,Locaux raccordables 4eme trimestre 2017,Locaux raccordables 1er trimestre 2018,Locaux raccordables 2eme trimestre 2018,Locaux raccordables 4eme trimestre 2018,Locaux raccordables 3eme trimestre 2018,Locaux raccordables 1er trimestre 2019,Locaux raccordables 2eme trimestre 2019,Locaux raccordables 3eme trimestre 2019,Locaux raccordables 4eme trimestre 2019,Locaux raccordables 1er trimestre 2020,Locaux raccordables 2eme trimestre 2020,Locaux raccordables 3eme trimestre 2020,Locaux raccordables 4eme trimestre 2020,Locaux raccordables 1er trimestre 2021,Locaux raccordables 2eme trimestre 2021,Locaux raccordables 3eme trimestre 2021,Locaux raccordables 4eme trimestre 2021,Région,deploiement,Locaux raccordables 1er trimestre 2022,commune,Commune,EPCI AMII,Nombre locaux IPE T2 2022 (somme tous OI),Source retenue T2 2022 ,Meilleure estimation des locaux T2 2022 ,Zones très denses,Engagements L. 33-13 et AMEL,Intentions privées hors engagement L. 33-13,Commune rurale,OI T2 2022,Locaux raccordables 2eme trimestre 2022
44096,52,44,Loire-Atlantique,244400552,CC du Pays d'Ancenis,"1,895",84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pays de la Loire,,0,Mésanger,Mésanger,Non,169,INSEE 2018 (IPE moins complet),"1,979",0,0,0,1,LOAN,0
44107,52,44,Loire-Atlantique,244400552,CC du Pays d'Ancenis,763,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pays de la Loire,,0,Mouzeil,Mouzeil,Non,0,INSEE 2018 (IPE moins complet),788,0,0,0,1,,0
44110,52,44,Loire-Atlantique,244400503,CC d'Erdre et Gesvres,"3,911",227,0,0,0,"1,179",815,"1,701","1,703","1,725","1,779","1,805","1,808","1,813","1,814","1,820","1,828","1,829","1,830",Pays de la Loire,,"2,850",Nort-sur-Erdre,Nort-sur-Erdre,Non,"4,572",IPE T2 2022 (plusieurs IPE),"4,572",0,0,0,0,FI44-LOAN,"4,086"
44130,52,44,Loire-Atlantique,244400438,CC de Grand Lieu,"2,580",171,0,0,0,0,0,0,751,"1,239","1,532","1,694","1,695","1,747","1,926","1,994","2,000","2,227","2,336",Pays de la Loire,,"3,131",Pont-Saint-Martin,Pont-Saint-Martin,Non,"3,645",IPE T2 2022 (plusieurs IPE),"3,645",0,0,0,0,FI44-LOAN,"3,136"
44154,52,44,Loire-Atlantique,244400586,CC du Sud-Estuaire,"10,487",329,0,0,0,0,0,0,0,0,0,0,0,378,507,976,"1,295","1,772","2,057",Pays de la Loire,,"2,617",Saint-Brevin-les-Pins,Saint-Brevin-les-Pins,Non,"11,826",IPE T2 2022 (un IPE),"11,826",0,0,0,0,LOAN,"3,257"
44159,52,44,Loire-Atlantique,200067635,CA Clisson Sèvre et Maine Agglo,522,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,64,519,Pays de la Loire,,576,Saint-Fiacre-sur-Maine,Saint-Fiacre-sur-Maine,Non,"1,339",IPE T2 2022 (un IPE),869,0,0,0,1,FI44-LOAN,604
44163,52,44,Loire-Atlantique,244400552,CC du Pays d'Ancenis,"1,920",73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pays de la Loire,,1,Vair-sur-Loire,Vair-sur-Loire,Non,344,INSEE 2018 (IPE moins complet),"1,993",0,0,0,1,FI44-LOAN,1
44172,52,44,Loire-Atlantique,244400404,Nantes Métropole,"6,709",452,0,977,"1,455","3,539","1,857","4,185","4,548","4,762","5,259","5,460","5,631","6,587","6,823","6,987","7,218","7,427","7,706",Pays de la Loire,,"7,840",Sainte-Luce-sur-Loire,Sainte-Luce-sur-Loire,Oui,"8,436",IPE T2 2022 (un IPE),"8,436",0,,0,0,FRTE,"7,970"
44176,52,44,Loire-Atlantique,244400644,CA de la Région Nazairienne et de l'Estuaire (CARENE),"1,461",33,0,0,0,0,0,0,221,450,450,466,517,604,960,"1,068","1,258","1,303","1,316",Pays de la Loire,,"1,319",Saint-Malo-de-Guersac,Saint-Malo-de-Guersac,Oui,"1,659",IPE T2 2022 (un IPE),"1,659",0,,0,0,FRTE,"1,325"
44210,52,44,Loire-Atlantique,244400644,CA de la Région Nazairienne et de l'Estuaire (CARENE),"3,800",304,0,0,0,489,0,525,901,"1,004","1,216","1,285","1,399","1,492","1,531","1,558","1,611","1,751","1,806",Pays de la Loire,,"2,050",Trignac,Trignac,Oui,"4,720",IPE T2 2022 (un IPE),"4,720",0,,0,0,FRTE,"2,274"
44221,52,44,Loire-Atlantique,244400453,CC de la Région de Blain,574,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pays de la Loire,,0,La Chevallerais,La Chevallerais,Non,652,IPE T2 2022 (un IPE),652,0,0,0,1,FI44,0
49003,52,49,Maine-et-Loire,200071876,CA Saumur Val de Loire,862,44,0,0,0,0,0,0,0,0,0,0,194,195,197,197,197,197,388,Pays de la Loire,,510,Tuffalun,Tuffalun,Oui,928,IPE T2 2022 (un IPE),928,0,0,0,1,ANFI,659
49007,52,49,Maine-et-Loire,244900015,CU Angers Loire Métropole,"89,936","4,488","55,115","58,387","60,979","66,377","62,918","68,888","72,547","76,642","80,923","83,506","84,946","86,397","88,738","89,908","91,847","92,957","94,122",Pays de la Loire,,"94,658",Angers,Angers,Oui,"108,202",IPE T2 2022 (un IPE),"108,202",0,,0,0,FRTE,"95,155"
49008,52,49,Maine-et-Loire,244900809,CC Anjou Bleu Communauté,418,24,0,0,0,0,0,0,0,0,0,0,0,25,139,237,373,403,403,Pays de la Loire,,405,Angrie,Angrie,Non,572,IPE T2 2022 (un IPE),572,0,0,0,1,ANFI,507
49009,52,49,Maine-et-Loire,200071876,CA Saumur Val de Loire,226,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,Pays de la Loire,,259,Antoigné,Antoigné,Oui,289,IPE T2 2022 (un IPE),289,0,0,0,1,ANFI,259
49021,52,49,Maine-et-Loire,244900882,CC Baugeois Vallée,"3,075",190,0,0,0,0,0,0,0,631,640,815,815,816,816,"1,309","1,561","1,937","2,146",Pays de la Loire,,"2,238",Beaufort-en-Anjou,Beaufort-en-Anjou,Non,"3,631",IPE T2 2022 (un IPE),"3,631",0,0,0,0,ANFI,"3,260"
49056,52,49,Maine-et-Loire,244900809,CC Anjou Bleu Communauté,119,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pays de la Loire,,0,Carbay,Carbay,Non,143,IPE T2 2022 (un IPE),143,0,0,0,1,ANFI,0
49110,52,49,Maine-et-Loire,200068955,CC Anjou Loir et Sarthe,783,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Pays de la Loire,,2,Corzé,Corzé,Non,"1,363",IPE T2 2022 (un IPE),"1,363",0,0,0,1,ANFI,2
49123,52,49,Maine-et-Loire,200071876,CA Saumur Val de Loire,723,100,0,0,0,0,0,0,0,0,0,0,0,360,609,763,835,927,954,Pays de la Loire,,956,Distré,Distré,Oui,"1,029",IPE T2 2022 (un IPE),"1,029",0,0,0,1,ANFI,982
49129,52,49,Maine-et-Loire,244900015,CU Angers Loire Métropole,"1,979",171,600,600,600,600,600,603,603,615,699,948,"1,240","1,484","1,820","2,067","2,187","2,241","2,264",Pays de la Loire,,"2,270",Écouflant,Écouflant,Oui,"2,803",IPE T2 2022 (un IPE),"2,803",0,,0,0,FRTE,"2,268"
49182,52,49,Maine-et-Loire,200071876,CA Saumur Val de Loire,394,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,404,399,Pays de la Loire,,401,Louresse-Rochemenier,Louresse-Rochemenier,Oui,417,IPE T2 2022 (un IPE),417,0,0,0,1,ANFI,404
49224,52,49,Maine-et-Loire,200071876,CA Saumur Val de Loire,443,21,0,0,0,0,0,0,0,0,0,0,0,0,80,80,80,80,80,Pays de la Loire,,186,Neuillé,Neuillé,Oui,508,IPE T2 2022 (un IPE),508,0,0,0,1,ANFI,189
49228,52,49,Maine-et-Loire,244900882,CC Baugeois Vallée,"3,402",146,0,0,0,0,0,0,0,0,0,0,0,0,88,88,93,"1,341","1,585",Pays de la Loire,,"2,053",Noyant-Villages,Noyant-Villages,Non,"4,051",IPE T2 2022 (un IPE),"4,051",0,0,0,1,ANFI,"2,636"
49253,52,49,Maine-et-Loire,200071876,CA Saumur Val de Loire,679,35,0,0,0,0,0,0,0,0,0,0,0,0,142,142,142,142,585,Pays de la Loire,,585,Le Puy-Notre-Dame,Le Puy-Notre-Dame,Oui,817,IPE T2 2022 (un IPE),817,0,0,0,1,ANFI,587
49262,52,49,Maine-et-Loire,200071876,CA Saumur Val de Loire,310,7,0,0,0,0,0,0,0,0,0,0,0,2,2,145,145,268,269,Pays de la Loire,,269,Rou-Marson,Rou-Marson,Oui,286,INSEE 2018 (IPE moins complet),318,0,0,0,1,ANFI,270
49272,52,49,Maine-et-Loire,200071876,CA Saumur Val de Loire,557,17,0,0,0,0,0,0,0,0,0,0,0,0,84,84,435,444,506,Pays de la Loire,,507,Saint-Clément-des-Levées,Saint-Clément-des-Levées,Oui,600,IPE T2 2022 (un IPE),600,0,0,0,1,ANFI,507
